R&D Spend,Administration,Marketing Spend,Profit
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,True
